0	True	0.178	window	window
1	True	0.296	tree	tree
2	True	0.296	dog	dog
3	True	0.162	reef	reef
4	True	0.167	grass	grass
5	False	0.000	skyscraper	-1
6	False	0.283	person	text
7	False	0.175	table	soft drink
8	True	0.296	invertebrate	invertebrate
9	False	0.079	sky	bird
10	True	0.296	outdoor	outdoor
11	True	0.226	animal	animal
12	True	0.248	animal	animal
13	False	0.000	tree	-1
14	False	0.000	person	-1
15	True	0.296	grass	grass
16	True	0.296	dog	dog
17	False	0.063	wall	person
18	True	0.296	arthropod	arthropod
19	False	0.201	fish	aquarium
20	True	0.204	person	person
21	False	0.000	tree	-1
22	False	0.068	waste container	outdoor
23	False	0.000	dog	-1
24	False	0.109	nature	spring
25	False	0.153	indoor	bottle
26	False	0.045	outdoor	None
27	False	0.000	outdoor	-1
28	False	0.000	grass	-1
29	False	0.000	ball	-1
30	False	0.000	cart	-1
31	False	0.274	invertebrate	sky
32	True	0.031	dog	dog
33	True	0.120	clothing	clothing
34	True	0.001	indoor	indoor
35	True	0.296	grass	grass
36	False	0.054	sky	outdoor
37	True	0.274	dog	dog
38	True	0.213	circle	circle
39	False	0.011	indoor	child art
40	True	0.296	grass	grass
41	True	0.296	person	person
42	True	0.203	accessory	accessory
43	False	0.061	sky	aircraft
44	True	0.014	dog	dog
45	False	0.000	insect	-1
46	False	0.000	water	-1
47	False	0.183	insect	invertebrate
48	True	0.296	dog	dog
49	True	0.033	animal	animal
50	True	0.296	dog	dog
51	False	0.201	building	indoor
52	True	0.027	handbag	handbag
53	False	0.000	None	-1
54	True	0.161	ship	ship
55	True	0.016	bathroom	bathroom
56	True	0.166	dog	dog
57	True	0.267	animal	animal
58	True	0.151	sport	sport
59	False	0.164	dog	painting
60	True	0.283	person	person
61	True	0.106	indoor	indoor
62	False	0.124	animal	aquarium
63	False	0.215	indoor	maraca
64	False	0.033	plate	food
65	False	0.210	reef	aquarium
66	False	0.000	outdoor	-1
67	True	0.167	animal	animal
68	True	0.101	dog	dog
69	True	0.068	text	text
70	True	0.261	dog	dog
71	True	0.084	indoor	indoor
72	True	0.219	tree	tree
73	False	0.040	indoor	None
74	True	0.296	bird	bird
75	True	0.034	outdoor	outdoor
76	True	0.153	grass	grass
77	False	0.033	carnivore	dog
78	False	0.000	ground	-1
79	True	0.296	grass	grass
80	True	0.296	person	person
81	False	0.110	outdoor	snow
82	False	0.164	bottle	indoor
83	False	0.063	museum	indoor
84	True	0.075	outdoor	outdoor
85	False	0.000	ground	-1
86	True	0.296	red	red
87	False	0.087	person	road
88	True	0.296	doughnut	doughnut
89	False	0.000	outdoor	-1
90	False	0.012	outdoor	water
91	True	0.222	bird	bird
92	False	0.204	curtain	text
93	False	0.007	rock	underwater
94	True	0.296	person	person
95	False	0.147	object	thread
96	False	0.274	wall	indoor
97	False	0.115	sky	painting
98	True	0.193	dog	dog
99	True	0.015	bed	bed
