0	True	0.007	window	window
1	True	0.180	tree	tree
2	True	0.180	dog	dog
3	True	0.180	reef	reef
4	True	0.122	grass	grass
5	False	0.081	skyscraper	pattern
6	False	0.180	person	text
7	False	0.040	table	soft drink
8	True	0.180	invertebrate	invertebrate
9	False	0.000	sky	-1
10	True	0.180	outdoor	outdoor
11	True	0.108	animal	animal
12	True	0.180	animal	animal
13	False	0.016	tree	plane
14	False	0.000	person	-1
15	True	0.162	grass	grass
16	True	0.180	dog	dog
17	True	0.102	wall	wall
18	True	0.180	arthropod	arthropod
19	False	0.000	fish	-1
20	True	0.130	person	person
21	True	0.081	tree	tree
22	False	0.000	waste container	-1
23	False	0.000	dog	-1
24	False	0.000	nature	-1
25	False	0.108	indoor	bottle
26	False	0.000	outdoor	-1
27	False	0.000	outdoor	-1
28	False	0.000	grass	-1
29	False	0.000	ball	-1
30	False	0.020	cart	text
31	False	0.000	invertebrate	-1
32	True	0.007	dog	dog
33	False	0.000	clothing	-1
34	True	0.180	indoor	indoor
35	True	0.180	grass	grass
36	False	0.091	sky	outdoor
37	True	0.072	dog	dog
38	True	0.180	circle	circle
39	False	0.004	indoor	child art
40	True	0.180	grass	grass
41	True	0.149	person	person
42	True	0.067	accessory	accessory
43	False	0.000	sky	-1
44	True	0.180	dog	dog
45	False	0.000	insect	-1
46	False	0.180	water	child art
47	False	0.114	insect	invertebrate
48	True	0.180	dog	dog
49	False	0.023	animal	dog
50	True	0.180	dog	dog
51	False	0.000	building	-1
52	False	0.180	handbag	indoor
53	True	0.063	None	None
54	False	0.000	ship	-1
55	True	0.020	bathroom	bathroom
56	False	0.000	dog	-1
57	True	0.180	animal	animal
58	True	0.076	sport	sport
59	False	0.000	dog	-1
60	True	0.180	person	person
61	True	0.162	indoor	indoor
62	False	0.000	animal	-1
63	False	0.000	indoor	-1
64	True	0.180	plate	plate
65	False	0.076	reef	aquarium
66	True	0.081	outdoor	outdoor
67	True	0.162	animal	animal
68	True	0.020	dog	dog
69	True	0.114	text	text
70	True	0.138	dog	dog
71	False	0.149	indoor	cat
72	True	0.059	tree	tree
73	False	0.055	indoor	None
74	True	0.180	bird	bird
75	False	0.000	outdoor	-1
76	True	0.162	grass	grass
77	False	0.004	carnivore	black
78	False	0.020	ground	animal
79	True	0.180	grass	grass
80	True	0.180	person	person
81	False	0.000	outdoor	-1
82	False	0.072	bottle	indoor
83	False	0.051	museum	indoor
84	False	0.051	outdoor	butterfly
85	False	0.000	ground	-1
86	True	0.180	red	red
87	True	0.081	person	person
88	True	0.180	doughnut	doughnut
89	False	0.059	outdoor	clothing
90	True	0.040	outdoor	outdoor
91	False	0.000	bird	-1
92	False	0.000	curtain	-1
93	False	0.114	rock	drawing
94	True	0.180	person	person
95	False	0.000	object	-1
96	False	0.162	wall	indoor
97	False	0.000	sky	-1
98	False	0.000	dog	-1
99	False	0.000	bed	-1
