0	True	0.138	window	window
1	True	0.180	tree	tree
2	True	0.180	dog	dog
3	True	0.162	reef	reef
4	True	0.114	grass	grass
5	False	0.000	skyscraper	-1
6	False	0.180	person	text
7	False	0.114	table	soft drink
8	True	0.180	invertebrate	invertebrate
9	False	0.040	sky	bird
10	True	0.180	outdoor	outdoor
11	True	0.162	animal	animal
12	True	0.180	animal	animal
13	False	0.000	tree	-1
14	False	0.000	person	-1
15	True	0.180	grass	grass
16	True	0.180	dog	dog
17	False	0.016	wall	person
18	True	0.180	arthropod	arthropod
19	False	0.149	fish	aquarium
20	True	0.149	person	person
21	False	0.000	tree	-1
22	False	0.020	waste container	outdoor
23	False	0.000	dog	-1
24	False	0.091	nature	spring
25	False	0.114	indoor	bottle
26	False	0.000	outdoor	-1
27	False	0.000	outdoor	-1
28	False	0.000	grass	-1
29	False	0.000	ball	-1
30	False	0.000	cart	-1
31	False	0.162	invertebrate	sky
32	True	0.004	dog	dog
33	True	0.067	clothing	clothing
34	False	0.000	indoor	-1
35	True	0.180	grass	grass
36	False	0.026	sky	outdoor
37	True	0.180	dog	dog
38	True	0.162	circle	circle
39	False	0.000	indoor	-1
40	True	0.180	grass	grass
41	True	0.180	person	person
42	True	0.162	accessory	accessory
43	False	0.040	sky	aircraft
44	False	0.000	dog	-1
45	False	0.000	insect	-1
46	False	0.000	water	-1
47	False	0.114	insect	invertebrate
48	True	0.180	dog	dog
49	True	0.000	animal	animal
50	True	0.180	dog	dog
51	False	0.149	building	indoor
52	False	0.000	handbag	-1
53	False	0.000	None	-1
54	True	0.096	ship	ship
55	False	0.000	bathroom	-1
56	True	0.102	dog	dog
57	True	0.180	animal	animal
58	True	0.149	sport	sport
59	False	0.108	dog	painting
60	True	0.162	person	person
61	True	0.059	indoor	indoor
62	False	0.051	animal	aquarium
63	False	0.122	indoor	maraca
64	False	0.000	plate	-1
65	False	0.149	reef	aquarium
66	False	0.000	outdoor	-1
67	True	0.130	animal	animal
68	True	0.055	dog	dog
69	True	0.007	text	text
70	True	0.180	dog	dog
71	True	0.059	indoor	indoor
72	True	0.138	tree	tree
73	False	0.000	indoor	-1
74	True	0.180	bird	bird
75	True	0.020	outdoor	outdoor
76	True	0.108	grass	grass
77	False	0.000	carnivore	-1
78	False	0.000	ground	-1
79	True	0.180	grass	grass
80	True	0.180	person	person
81	False	0.063	outdoor	snow
82	False	0.114	bottle	indoor
83	False	0.033	museum	indoor
84	True	0.055	outdoor	outdoor
85	False	0.000	ground	-1
86	True	0.180	red	red
87	False	0.067	person	road
88	True	0.180	doughnut	doughnut
89	False	0.000	outdoor	-1
90	False	0.000	outdoor	-1
91	True	0.162	bird	bird
92	False	0.162	curtain	text
93	False	0.000	rock	-1
94	True	0.180	person	person
95	False	0.102	object	thread
96	False	0.180	wall	indoor
97	False	0.076	sky	painting
98	True	0.162	dog	dog
99	False	0.000	bed	-1
